lead_id,created_at_iso,source,discord_user_id,name,phone,city,status
LEADXAJI0Y,2025-07-16T09:23:00+05:00,discord,134353854399310067,Sara S.,+15554903402,Quetta,follow_up
LEADXTHV3A,2025-08-08T13:33:00+05:00,discord,279255662497403785,Maya A.,+15552714803,Karachi,booked
LEADJBQE7C,2025-07-31T15:21:00+05:00,discord,321693647224920511,Sara K.,+15554823498,Islamabad,new
LEADKWNNHJ,2025-07-06T15:56:00+05:00,discord,940625969428259847,Maya S.,+15558755439,Peshawar,quoted
LEADY41IBL,2025-08-02T09:47:00+05:00,discord,855669333089104239,Noor B.,+15558698256,Lahore,quoted
LEADJV6OH9,2025-07-17T20:55:00+05:00,discord,226416847023193494,Usman S.,+15558082668,Quetta,new
LEADT84AZY,2025-07-16T03:11:00+05:00,discord,438382606667001577,Hassan S.,+15558612220,Karachi,lost
LEADSDW4SH,2025-07-27T06:26:00+05:00,discord,473726491639574196,Noor K.,+15552876828,Islamabad,quoted
LEAD8DRC11,2025-08-10T14:30:00+05:00,discord,708366450576113731,Zara B.,+15554553384,Quetta,lost
LEAD9XPSEI,2025-07-29T11:23:00+05:00,discord,353893364983005938,Ali K.,+15551987737,Lahore,new
LEAD2B551B,2026-05-15T15:11:52.733186,discord,1504368837926191144,syedahsanimtiaz_66168,03084706206,,qualified
